epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.00984,0.96724,1.99661,0.93138,0.63604,0.42242,0.40626,0.31855,0.83055,0.7388,0.87838,0.000388889,0.000388889,0.000388889
2,7.8262,0.8171,0.7534,0.86994,0.81942,0.36207,0.38502,0.29969,0.80094,0.95647,0.87272,0.000797581,0.000797581,0.000797581
3,10.4211,0.77129,0.67361,0.86515,0.62304,0.41747,0.38845,0.30167,0.77537,0.93023,0.88056,0.00119802,0.00119802,0.00119802
4,13.5402,0.74325,0.63584,0.85821,0.55966,0.5103,0.4333,0.3286,0.77626,1.19113,0.87569,0.00121287,0.00121287,0.00121287
5,16.9461,0.71225,0.60596,0.85937,0.7326,0.45527,0.56369,0.39261,0.66293,0.73694,0.85729,0.0012005,0.0012005,0.0012005
6,20.1462,0.69358,0.57971,0.85197,0.68405,0.43417,0.45106,0.37145,0.63869,0.5775,0.85023,0.00118812,0.00118812,0.00118812
7,23.2439,0.66675,0.54272,0.84268,0.81956,0.47909,0.57458,0.43859,0.64497,0.65094,0.85293,0.00117575,0.00117575,0.00117575
8,26.6218,0.66712,0.55462,0.84859,0.64369,0.53734,0.57709,0.45178,0.60724,0.56822,0.8472,0.00116337,0.00116337,0.00116337
9,31.1835,0.65229,0.5223,0.83825,0.7999,0.44304,0.62225,0.45326,0.59805,0.52226,0.84779,0.001151,0.001151,0.001151
10,34.9111,0.63922,0.51811,0.83922,0.86634,0.49655,0.65585,0.46849,0.59023,0.49491,0.8446,0.00113863,0.00113863,0.00113863
11,38.884,0.63094,0.49621,0.83285,0.70816,0.4727,0.58756,0.40267,0.59597,0.51042,0.84163,0.00112625,0.00112625,0.00112625
12,43.148,0.63765,0.48824,0.83741,0.61159,0.56628,0.46591,0.39364,0.59668,0.48204,0.84423,0.00111388,0.00111388,0.00111388
13,48.1379,0.64004,0.49219,0.83568,0.87725,0.50049,0.67597,0.49249,0.58849,0.47448,0.84618,0.0011015,0.0011015,0.0011015
14,53.2117,0.63668,0.48923,0.84337,0.8781,0.47449,0.63593,0.45266,0.58348,0.48909,0.8384,0.00108913,0.00108913,0.00108913
15,59.1711,0.63197,0.48902,0.83911,0.69333,0.52971,0.65429,0.47402,0.59199,0.48085,0.83971,0.00107675,0.00107675,0.00107675
16,65.6834,0.62847,0.48382,0.83768,0.58026,0.69529,0.64337,0.46126,0.60092,0.49254,0.84265,0.00106437,0.00106437,0.00106437
17,71.4205,0.61349,0.45955,0.83667,0.64359,0.70663,0.65402,0.4764,0.59616,0.46858,0.84182,0.001052,0.001052,0.001052
18,77.2138,0.62656,0.49178,0.83073,0.54748,0.74292,0.64731,0.48696,0.57019,0.47632,0.83612,0.00103962,0.00103962,0.00103962
19,82.7739,0.59636,0.45809,0.82741,0.57336,0.72164,0.64078,0.45725,0.59229,0.49615,0.8412,0.00102725,0.00102725,0.00102725
20,88.8242,0.59614,0.44059,0.82966,0.7855,0.4687,0.63591,0.46038,0.56469,0.4657,0.83894,0.00101488,0.00101488,0.00101488
21,94.7305,0.60604,0.45732,0.8294,0.67018,0.61672,0.6515,0.47024,0.57459,0.46683,0.84058,0.0010025,0.0010025,0.0010025
22,99.3811,0.59736,0.45074,0.83616,0.70747,0.64461,0.66525,0.4982,0.55925,0.44565,0.83646,0.000990125,0.000990125,0.000990125
23,105.157,0.59929,0.43781,0.82653,0.71282,0.66044,0.68732,0.52228,0.57469,0.48619,0.83877,0.00097775,0.00097775,0.00097775
24,110.899,0.5995,0.44153,0.82851,0.78844,0.64154,0.681,0.54482,0.55112,0.4625,0.83638,0.000965375,0.000965375,0.000965375
25,115.957,0.60711,0.44672,0.83118,0.73451,0.71297,0.67754,0.49204,0.57977,0.46158,0.84194,0.000953,0.000953,0.000953
26,121.994,0.58472,0.41542,0.82938,0.71197,0.67115,0.69363,0.53726,0.54736,0.46802,0.83573,0.000940625,0.000940625,0.000940625
27,127.57,0.59539,0.43947,0.82893,0.83333,0.63282,0.6588,0.49214,0.5664,0.46201,0.83582,0.00092825,0.00092825,0.00092825
28,133.028,0.60356,0.45455,0.8295,0.66231,0.75344,0.69289,0.52633,0.54654,0.45338,0.83408,0.000915875,0.000915875,0.000915875
29,138.985,0.57904,0.43618,0.82517,0.78722,0.65653,0.69666,0.56017,0.55596,0.48136,0.83473,0.0009035,0.0009035,0.0009035
30,145.27,0.57071,0.42108,0.8248,0.79592,0.80257,0.82132,0.59471,0.54834,0.45309,0.83467,0.000891125,0.000891125,0.000891125
31,150.983,0.5723,0.42094,0.83258,0.72776,0.63262,0.70702,0.56922,0.53656,0.43375,0.83275,0.00087875,0.00087875,0.00087875
32,156.669,0.59346,0.43581,0.8273,0.76737,0.65688,0.65261,0.51882,0.54473,0.47534,0.83465,0.000866375,0.000866375,0.000866375
33,162.43,0.57466,0.41687,0.83186,0.79683,0.6078,0.6729,0.52971,0.5431,0.43367,0.8343,0.000854,0.000854,0.000854
34,168.435,0.57325,0.41804,0.82595,0.74123,0.66727,0.64687,0.5149,0.56942,0.44253,0.83378,0.000841625,0.000841625,0.000841625
35,174.46,0.56489,0.40751,0.81792,0.81679,0.6981,0.71812,0.58312,0.55008,0.43546,0.8322,0.00082925,0.00082925,0.00082925
36,180.937,0.57187,0.42272,0.8234,0.67377,0.68227,0.69775,0.56118,0.55646,0.44795,0.83535,0.000816875,0.000816875,0.000816875
37,187.113,0.56657,0.41042,0.82466,0.71132,0.66215,0.6737,0.50121,0.53649,0.44504,0.83062,0.0008045,0.0008045,0.0008045
38,192.777,0.56826,0.4122,0.83071,0.82205,0.67243,0.7232,0.5528,0.55384,0.43646,0.83414,0.000792125,0.000792125,0.000792125
39,199.148,0.56911,0.41042,0.82596,0.73064,0.67356,0.70006,0.573,0.54278,0.43532,0.83614,0.00077975,0.00077975,0.00077975
40,205.418,0.56591,0.39287,0.82131,0.84926,0.57808,0.69661,0.56689,0.56882,0.43905,0.83658,0.000767375,0.000767375,0.000767375
41,211.672,0.56065,0.39399,0.82496,0.82528,0.67688,0.69568,0.55633,0.55635,0.44685,0.83513,0.000755,0.000755,0.000755
42,217.496,0.55305,0.38807,0.81903,0.87598,0.65968,0.69594,0.55638,0.55629,0.44229,0.83486,0.000742625,0.000742625,0.000742625
43,223.961,0.54686,0.38681,0.81899,0.86141,0.65634,0.7079,0.58626,0.54625,0.42586,0.83365,0.00073025,0.00073025,0.00073025
44,229.965,0.54709,0.37554,0.81359,0.8424,0.66412,0.71149,0.57297,0.54396,0.4354,0.83358,0.000717875,0.000717875,0.000717875
45,236.722,0.54196,0.38079,0.81975,0.84512,0.68439,0.71191,0.55982,0.5437,0.4337,0.83501,0.0007055,0.0007055,0.0007055
46,242.954,0.54458,0.386,0.82222,0.73555,0.72087,0.73039,0.58677,0.55465,0.43391,0.83313,0.000693125,0.000693125,0.000693125
47,249.635,0.54543,0.37837,0.82368,0.68913,0.6803,0.69157,0.55741,0.54479,0.42759,0.83086,0.00068075,0.00068075,0.00068075
48,255.756,0.54196,0.37683,0.82061,0.78718,0.6474,0.70044,0.56327,0.5491,0.43441,0.83251,0.000668375,0.000668375,0.000668375
49,262.102,0.53278,0.37691,0.81393,0.83403,0.67079,0.72391,0.55565,0.53497,0.41982,0.83316,0.000656,0.000656,0.000656
50,268.697,0.53175,0.37012,0.81833,0.86123,0.66062,0.70406,0.53007,0.54624,0.43191,0.83293,0.000643625,0.000643625,0.000643625
